0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317,0.9317
0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316,0.9316
0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315
0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314
0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313,0.9313
0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312
0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311,0.9311
0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310,0.9310
0.9308,0.9308,0.9308,0.9308,0.9308,0.9308,0.9308,0.9308,0.9308,0.9399,0.9308,0.9308,0.9399,0.9399,0.9308,0.9308,0.9308,0.9308,0.9308,0.9308,0.9399,0.9308,0.9308,0.9308,0.9308,0.9308,0.9308,0.9308,0.9308,0.9399,0.9308,0.9308,0.9399,0.9308,0.9400,0.9399,0.9308,0.9308,0.9399,0.9308,0.9308,0.9308,0.9308,0.9399,0.9308,0.9308,0.9308,0.9308,0.9308,0.9308
0.9307,0.9382,0.9307,0.9382,0.9307,0.9307,0.9307,0.9307,0.9381,1.1029,0.9381,0.9307,1.0206,0.9377,0.9307,0.9382,1.0208,0.9307,0.9382,0.9307,0.9378,0.9307,0.9381,0.9307,0.9307,0.9381,0.9307,1.0210,0.9307,0.9378,1.0208,0.9307,0.9378,0.9382,0.9378,0.9378,0.9307,0.9380,0.9378,0.9307,0.9307,1.0209,0.9307,1.0206,0.9307,0.9307,0.9307,0.9307,1.0208,0.9307
0.9306,1.0188,0.9364,1.0187,0.9306,0.9306,0.9363,0.9306,0.9359,1.1004,1.0186,0.9361,1.0183,1.0183,0.9306,0.9360,1.0185,0.9363,0.9361,0.9306,0.9357,0.9306,0.9360,0.9306,0.9306,1.1822,0.9306,1.1008,0.9306,1.0184,1.0185,0.9306,0.9357,1.0188,0.9357,1.0183,0.9306,0.9359,0.9357,0.9306,0.9306,1.1006,0.9306,1.0183,1.1824,0.9361,0.9364,0.9306,1.0185,0.9363
